n,mean,median,std,p25,p75,p10,p90,p_positive,min,max,view,score_band,horizon
2264,-0.0017032866311481032,-0.00096879308419225,0.027809785295106373,-0.004465168244916175,0.002097087190463175,-0.01589826839826827,0.010977803068737085,0.3745583038869258,-0.535681186283596,0.4033427940712708,dedup,70-85,fwd_30m
1986,-0.001389676572333979,-0.00107851293438045,0.04847634424802664,-0.005482841217098451,0.003175460832554175,-0.01773560455750375,0.014212625400765299,0.3862034239677744,-0.5438121047877146,0.726349545697488,dedup,70-85,fwd_60m
1319,-0.002278818115656492,-0.001820218426211,0.057119622309983006,-0.0090614886731391,0.0051421696544253995,-0.028307515747534578,0.01711729494768286,0.38968915845337376,-0.5058717253839206,0.4506464837590665,dedup,70-85,fwd_240m
2730,-0.002195051908853985,-0.0025327026724112998,0.04771892333001182,-0.0085917073387106,0.0034165684650502752,-0.023058157844721167,0.016371848059914044,0.34835164835164834,-0.5483288166214996,0.5223880597014925,dedup,70-85,fwd_next_session_open
98,0.010951718490421512,-0.0002468160726627,0.06910525648895115,-0.0091489361702127,0.014370194426759249,-0.0338368580060424,0.04706519384881953,0.45918367346938777,-0.1040784917275876,0.5198973042362003,dedup,85+,fwd_30m
93,0.005011321043331237,0.0007655502392345,0.044744944280207664,-0.0116796440489431,0.0133465150766188,-0.037347648322968705,0.034283997444547826,0.5483870967741935,-0.1244709503655252,0.2421259842519684,dedup,85+,fwd_60m
54,0.012207594345808748,-4.360284586897456e-05,0.062041228773653936,-0.013681628204946299,0.020542264752790976,-0.0240963855421685,0.04174239995725795,0.5,-0.0898876404494381,0.2552235891427456,dedup,85+,fwd_240m
112,0.011954902175195367,0.0001277465508431,0.06379360169407754,-0.0162985597894446,0.017541738998552273,-0.040787994514693886,0.0870398773006136,0.5089285714285714,-0.1244709503655252,0.3512269938650307,dedup,85+,fwd_next_session_open
245,0.0049966415492345385,-0.0001186755805213,0.04610350840161129,-0.0081613058089293,0.0091981603679264,-0.037196826502188654,0.03779567371074539,0.43673469387755104,-0.1222471910112359,0.3647329121194715,dedup,<=10,fwd_30m
225,-0.002339920955261327,-0.0001690188456012,0.03553575334521898,-0.0126332412159493,0.0054089928654388,-0.036197827883834376,0.031865017188269555,0.4444444444444444,-0.1570886075949366,0.1485714285714284,dedup,<=10,fwd_60m
181,0.005007363291289308,-3.798526171843574e-05,0.06358108364027464,-0.0151824404948816,0.0177631578947369,-0.0456629175635917,0.0721231766612642,0.47513812154696133,-0.1731460674157303,0.2308336824465856,dedup,<=10,fwd_240m
261,0.006977175820703188,0.0001759801631984,0.07377554327294839,-0.0160486838380979,0.0192076830732293,-0.0533980582524272,0.0785188489850546,0.5134099616858238,-0.2558572176036277,0.6699999999999999,dedup,<=10,fwd_next_session_open
