n,mean,median,std,p25,p75,p10,p90,p_positive,min,max,view,metric,bin,horizon
6350,-0.003774445948731574,-0.00213104062492005,0.0373867057483885,-0.009450689147598,0.0029082774049215,-0.02444575016439348,0.01110323572041037,0.35968503937007873,-0.511090573012939,0.7466666666666667,dedup,rsi_distance,passing_side,fwd_60m
3925,-0.002263292630894657,-0.0016338200755642,0.03711960079094495,-0.0089385474860335,0.0042424242424242,-0.024697073132393995,0.015560515096145458,0.3956687898089172,-0.511090573012939,0.7466666666666667,dedup,sma_spread_distance,fail_0.25_1,fwd_60m
3104,-0.00022802275777431707,-0.0012043404604245,0.103222213248461,-0.012966066854305649,0.005882352941176425,-0.03571428571428574,0.02280164274236996,0.4065721649484536,-0.4358974358974358,3.535,dedup,sma_spread_distance,fail_0_0.25,fwd_60m
3197,-0.0015165393795902413,-0.0019221528111484,0.03670489110389042,-0.0093329673346142,0.0046257204743198,-0.02278634760403914,0.014901824939924205,0.4044416640600563,-0.2926509186351707,1.3644444444444446,dedup,sma_spread_distance,fail_1_5,fwd_60m
1098,-0.0027789080207177297,-0.0021648290791925,0.014396370500471852,-0.00798843920565915,0.00365020049707735,-0.01629268546780408,0.010581827699544601,0.3861566484517304,-0.1576576576576576,0.0720491629582539,dedup,sma_spread_distance,fail_5p,fwd_60m
4183,0.002406752471397175,0.0007036197326245,0.04617302325723643,-0.008276380996860351,0.0119949832277974,-0.028487746223017977,0.032533471461577444,0.5340664594788429,-0.5438121047877146,0.5624652777777779,dedup,sma_spread_distance,passing_side,fwd_60m
486,-0.005255761827208075,-0.0031480447385047,0.04060662043559237,-0.0147015687035714,0.0061809815950919,-0.0329156310411488,0.0196797865243495,0.4053497942386831,-0.3097087378640777,0.5174129353233832,dedup,rsi_distance,fail_0_2,fwd_240m
1759,0.0018316147524473935,0.0025970475669764,0.04260734205114121,-0.010434782924303498,0.0145356920862368,-0.032742432288900655,0.03934853359703974,0.5622512791358727,-0.5058717253839206,0.2730200489884787,dedup,rsi_distance,fail_10_20,fwd_240m
2510,0.016898117959096858,0.00856207259177865,0.11223661457016033,-0.0058498387839704,0.02669542400281895,-0.03152965098959801,0.059974686265311536,0.6597609561752988,-0.4252669039145907,2.84495,dedup,rsi_distance,fail_20p,fwd_240m
695,-0.00262233970015408,-0.0006565988181221,0.04169455418710633,-0.01145221635251125,0.0087725416247822,-0.02644481390182206,0.024253628471866844,0.4748201438848921,-0.3481899109792284,0.2708144236323129,dedup,rsi_distance,fail_2_5,fwd_240m
