n,mean,median,std,p25,p75,p10,p90,p_positive,min,max,view,gate_group,horizon
203,-0.006153346280056955,-0.0016424856282508,0.05508754000961168,-0.00858515740896915,0.00436773614769695,-0.0285714285714286,0.015845215005220962,0.4088669950738916,-0.4279252311581188,0.1841463414634148,dedup,A_both_pass,fwd_30m
188,-0.008058567338567461,-0.00333619429080035,0.05672040685806201,-0.0134285806413473,0.00438216718633165,-0.03075658547397967,0.01843909861264995,0.39893617021276595,-0.4168385108317258,0.1864878048780489,dedup,A_both_pass,fwd_60m
134,-0.01662624010349255,-0.007396449704142,0.06586935679458505,-0.025324717489155074,0.00250514858194815,-0.043423503325942296,0.019041276135544287,0.31343283582089554,-0.4334685913213153,0.1656963725929244,dedup,A_both_pass,fwd_240m
227,-0.01108601174863859,-0.0062022212606374,0.06831456114624139,-0.02352847236112945,0.0118270283793471,-0.04570709382151024,0.03672392638036804,0.3920704845814978,-0.5365750903567706,0.1540528437080162,dedup,A_both_pass,fwd_next_session_open
6862,-0.003920169330803724,-0.00180293185947145,0.026998383890033752,-0.0080536912751678,0.002067082359023475,-0.02186249761451203,0.009574102375985574,0.3427572136403381,-0.4935304990757856,0.685907436297452,dedup,B_rsi_pass_sma_fail,fwd_30m
6161,-0.0036553417157563248,-0.002121337408568,0.036627581673688084,-0.0093404224744935,0.0028935185185183,-0.0242881072026799,0.010939268200679,0.3583833793215387,-0.511090573012939,0.7466666666666667,dedup,B_rsi_pass_sma_fail,fwd_60m
4469,0.000603424552205298,-0.0016098484848483,0.10095189015074599,-0.0110330992978938,0.0066675297773174,-0.0263412057871834,0.019706049968681985,0.4280599686730812,-0.8975757575757576,3.5118019573978123,dedup,B_rsi_pass_sma_fail,fwd_240m
7987,0.003010907226892304,-0.0023443970781606,0.2638049927414937,-0.010363437155203051,0.004914935629587849,-0.0268874834826797,0.01791525543516656,0.38925754350820085,-0.8125454545454546,14.341043190936984,dedup,B_rsi_pass_sma_fail,fwd_next_session_open
4441,0.0024271010255398095,0.0007748934521504,0.03928960277487194,-0.0063369781312127,0.0106101718499965,-0.022923423671046,0.0284360189573459,0.5352398108534114,-0.535681186283596,0.6041666666666667,dedup,C_rsi_fail_sma_pass,fwd_30m
3993,0.0028983388625828527,0.0009117318435753,0.045577425604154294,-0.0081518987341772,0.0123636363636363,-0.02826436024477087,0.033218823214595884,0.5401953418482344,-0.5438121047877146,0.5624652777777779,dedup,C_rsi_fail_sma_pass,fwd_60m
2839,0.007938912431088909,0.003309929789368,0.07656854347335053,-0.01024085430913585,0.019278718298135003,-0.034972310249238775,0.04739336492891,0.5776681930257133,-0.5058717253839206,1.564102564102564,dedup,C_rsi_fail_sma_pass,fwd_240m
5336,0.002503040757560696,0.0005605135237893,0.05854832432041479,-0.0150041975872877,0.013567677590486051,-0.040481213872832295,0.042690251213357094,0.5273613193403298,-0.5483288166214996,0.9461805555555558,dedup,C_rsi_fail_sma_pass,fwd_next_session_open
5753,0.0003137879267170574,-0.0007745933384972,0.044953133867483216,-0.0088495575221237,0.0061031493336773,-0.0241672355361689,0.021182375144048263,0.4463758039283852,-0.3543689320388349,1.48,dedup,D_both_fail,fwd_30m
5165,0.0009756294017996852,-0.0008980324924483,0.08195736987857082,-0.0101979604079185,0.0073164218958611,-0.02785634699562268,0.02384976916317003,0.4503388189738625,-0.4358974358974358,3.535,dedup,D_both_fail,fwd_60m
3610,0.005473221759041916,0.0019593126870634,0.08334574414825169,-0.009416082189613324,0.015053862379945425,-0.026899833872423236,0.037829638129383,0.5565096952908587,-0.3952262003885651,2.84495,dedup,D_both_fail,fwd_240m
6748,0.002102258668895924,0.0006869704602702,0.05490327473938239,-0.010760294805403026,0.011855365445290901,-0.0307323997379784,0.034274853765384944,0.5281564908120925,-0.5080906148867314,1.995555555555556,dedup,D_both_fail,fwd_next_session_open
63,-0.011359860665792374,0.0010162601626016,0.06803910643530725,-0.04601015482981255,0.015954690155938152,-0.0984569245256989,0.062008731180780055,0.5238095238095238,-0.2531969309462916,0.2314410480349344,dedup,Z_unknown,fwd_30m
48,-0.015805307325072366,-0.0076145654140138,0.07150457857693204,-0.05924196174196167,0.020178379561462824,-0.1026966016439699,0.03736476031411862,0.4166666666666667,-0.2074168797953963,0.2489082969432313,dedup,Z_unknown,fwd_60m
29,-0.013182566971401521,0.0054513184584179,0.09975322867227222,-0.0384615384615384,0.0407470288624787,-0.14157029908737687,0.07225312075688,0.5172413793103449,-0.2890025575447571,0.2139737991266374,dedup,Z_unknown,fwd_240m
157,0.002324220630151782,0.0004883607357968,0.0577009554240842,-0.0053314235696666,0.0138605788830004,-0.04627130871167566,0.04446581651193994,0.5159235668789809,-0.3350639386189258,0.2516184721622788,dedup,Z_unknown,fwd_next_session_open
